doc_id,item,category,amount,price,discount,date
b7026cbc,Скатерть,Текстиль,2,1508,0,2026-04-26
b7026cbc,Полотенце,Текстиль,4,4493,10,2026-04-26
b7026cbc,Диван,Мебель,4,3609,5,2026-04-26
22d0abec,Стул,Мебель,5,1363,25,2026-04-26
22d0abec,Кровать,Мебель,5,272,50,2026-04-26
09770af4,Диван,Мебель,3,981,0,2026-04-26
09770af4,Стул,Мебель,5,1255,0,2026-04-26
5acf662d,Стиральный порошок,Бытовая химия,2,1382,50,2026-04-26
5acf662d,Кастрюля,Посуда,4,1140,0,2026-04-26
5acf662d,Кровать,Мебель,5,1713,10,2026-04-26
5acf662d,Стиральный порошок,Бытовая химия,2,4541,25,2026-04-26
