doc_id,item,category,amount,price,discount,date
f01f6ba7,Стул,Мебель,1,3556,5,2026-04-26
09846bc6,Постельное белье,Текстиль,5,4633,0,2026-04-26
09846bc6,Скатерть,Текстиль,3,1045,0,2026-04-26
f11b46a8,Кастрюля,Посуда,4,3806,0,2026-04-26
d4479311,Кастрюля,Посуда,5,4387,0,2026-04-26
d4479311,Пакеты для мусора,Хозтовары,1,3827,50,2026-04-26
d4479311,Стиральный порошок,Бытовая химия,5,4580,0,2026-04-26
d4479311,Диван,Мебель,2,4712,50,2026-04-26
4dd4f8b1,Ведро,Хозтовары,2,4216,0,2026-04-26
9da1eace,Тарелка,Посуда,1,1112,0,2026-04-26
9da1eace,Кастрюля,Посуда,4,4953,0,2026-04-26
9da1eace,Веник,Хозтовары,1,3549,0,2026-04-26
9da1eace,Пакеты для мусора,Хозтовары,5,949,10,2026-04-26
