doc_id,item,category,amount,price,discount,date
ed04aa2d,Ведро,Хозтовары,1,1073,0,2026-04-26
960080c1,Мыло,Бытовая химия,3,3428,0,2026-04-26
4b101d83,Шторы,Текстиль,1,2348,25,2026-04-26
d233d77f,Кровать,Мебель,2,2053,0,2026-04-26
d233d77f,Полотенце,Текстиль,3,888,0,2026-04-26
d233d77f,Нож,Посуда,5,3369,0,2026-04-26
0b999ad9,Нож,Посуда,2,3141,50,2026-04-26
0b999ad9,Губки для посуды,Хозтовары,3,4263,0,2026-04-26
0b999ad9,Шампунь,Бытовая химия,3,4429,5,2026-04-26
13e0462c,Пакеты для мусора,Хозтовары,1,1184,25,2026-04-26
13e0462c,Кровать,Мебель,5,3871,0,2026-04-26
