doc_id,item,category,amount,price,discount,date
4c142bec,Мыло,Бытовая химия,2,2989,0,2026-04-26
4c142bec,Губки для посуды,Хозтовары,3,1209,5,2026-04-26
bd048153,Кастрюля,Посуда,4,538,5,2026-04-26
bd048153,Нож,Посуда,3,668,0,2026-04-26
bd048153,Веник,Хозтовары,5,4942,10,2026-04-26
bd048153,Шторы,Текстиль,2,536,25,2026-04-26
6c8ae593,Кровать,Мебель,4,4049,10,2026-04-26
6c8ae593,Кровать,Мебель,4,536,5,2026-04-26
20928c3a,Скатерть,Текстиль,2,2614,0,2026-04-26
20928c3a,Подушка,Текстиль,2,1890,5,2026-04-26
20928c3a,Кастрюля,Посуда,3,3515,50,2026-04-26
20928c3a,Подушка,Текстиль,5,4476,25,2026-04-26
2af4fa60,Стиральный порошок,Бытовая химия,2,3165,5,2026-04-26
4607d8e5,Мыло,Бытовая химия,5,4076,0,2026-04-26
4607d8e5,Скатерть,Текстиль,3,2911,25,2026-04-26
b682360f,Кастрюля,Посуда,3,770,5,2026-04-26
b682360f,Тарелка,Посуда,4,935,50,2026-04-26
65845a2d,Кастрюля,Посуда,1,2109,0,2026-04-26
65845a2d,Полотенце,Текстиль,3,1227,0,2026-04-26
65845a2d,Диван,Мебель,5,4843,5,2026-04-26
