doc_id,item,category,amount,price,discount,date
6f600e53,Шампунь,Бытовая химия,4,3885,0,2026-04-26
6f600e53,Подушка,Текстиль,3,3784,0,2026-04-26
6f600e53,Шкаф,Мебель,1,3191,5,2026-04-26
6f600e53,Кастрюля,Посуда,2,3025,0,2026-04-26
63430cd6,Стол,Мебель,1,3503,25,2026-04-26
63430cd6,Стиральный порошок,Бытовая химия,4,4622,5,2026-04-26
63430cd6,Стиральный порошок,Бытовая химия,3,4649,0,2026-04-26
192fe3bc,Постельное белье,Текстиль,2,2392,25,2026-04-26
192fe3bc,Тарелка,Посуда,1,4797,5,2026-04-26
d7cf22f4,Нож,Посуда,2,3665,0,2026-04-26
d7cf22f4,Ведро,Хозтовары,5,1972,10,2026-04-26
f70dd6c5,Пакеты для мусора,Хозтовары,1,1677,0,2026-04-26
d4d8ed86,Нож,Посуда,1,242,50,2026-04-26
