doc_id,item,category,amount,price,discount,date
b30235ae,Стиральный порошок,Бытовая химия,2,666,25,2026-04-26
b30235ae,Скатерть,Текстиль,3,4155,5,2026-04-26
b30235ae,Стиральный порошок,Бытовая химия,4,511,25,2026-04-26
4be2b66e,Шампунь,Бытовая химия,2,4152,25,2026-04-26
4be2b66e,Веник,Хозтовары,4,3202,0,2026-04-26
befc4d77,Диван,Мебель,2,4769,5,2026-04-26
2bc61216,Веник,Хозтовары,2,3703,25,2026-04-26
2bc61216,Шампунь,Бытовая химия,3,2942,0,2026-04-26
2bc61216,Веник,Хозтовары,5,3487,10,2026-04-26
73e89063,Кастрюля,Посуда,1,2237,0,2026-04-26
2b2a3f50,Стол,Мебель,5,3481,50,2026-04-26
2b2a3f50,Губки для посуды,Хозтовары,3,2936,25,2026-04-26
2b2a3f50,Кастрюля,Посуда,5,3824,0,2026-04-26
2b2a3f50,Шкаф,Мебель,5,4937,0,2026-04-26
