doc_id,item,category,amount,price,discount,date
41f8da54,Кастрюля,Посуда,5,3880,0,2026-04-26
00169bfb,Стол,Мебель,5,506,25,2026-04-26
00169bfb,Пакеты для мусора,Хозтовары,3,3410,10,2026-04-26
a2985491,Нож,Посуда,5,1191,50,2026-04-26
a2985491,Ведро,Хозтовары,1,4500,25,2026-04-26
a2985491,Стул,Мебель,5,3490,10,2026-04-26
f6ce628c,Нож,Посуда,2,916,5,2026-04-26
0ab20de7,Ведро,Хозтовары,5,1085,0,2026-04-26
0ab20de7,Мыло,Бытовая химия,5,1940,0,2026-04-26
0ab20de7,Кастрюля,Посуда,5,2690,0,2026-04-26
cc130ba6,Мыло,Бытовая химия,3,4187,0,2026-04-26
cc130ba6,Кастрюля,Посуда,1,2930,0,2026-04-26
cc130ba6,Стол,Мебель,4,3218,0,2026-04-26
cc130ba6,Пакеты для мусора,Хозтовары,4,1575,0,2026-04-26
12aca53e,Диван,Мебель,5,4701,0,2026-04-26
12aca53e,Ведро,Хозтовары,4,2232,5,2026-04-26
0faad15a,Нож,Посуда,5,376,25,2026-04-26
0faad15a,Кровать,Мебель,4,2962,5,2026-04-26
0faad15a,Шампунь,Бытовая химия,2,551,0,2026-04-26
bea3273c,Веник,Хозтовары,3,2309,25,2026-04-26
bea3273c,Шторы,Текстиль,3,4172,0,2026-04-26
bea3273c,Нож,Посуда,1,3916,0,2026-04-26
