doc_id,item,category,amount,price,discount,date
ba57e6d4,Кастрюля,Посуда,5,3676,5,2026-04-26
ba57e6d4,Скатерть,Текстиль,1,4088,5,2026-04-26
ed6a483a,Скатерть,Текстиль,5,3475,5,2026-04-26
677751a2,Полотенце,Текстиль,3,1030,0,2026-04-26
bd22742f,Полотенце,Текстиль,2,3681,5,2026-04-26
bd22742f,Нож,Посуда,2,822,0,2026-04-26
bd22742f,Шампунь,Бытовая химия,2,2939,0,2026-04-26
377a289b,Шторы,Текстиль,1,645,50,2026-04-26
976ca3ea,Тарелка,Посуда,3,52,0,2026-04-26
976ca3ea,Пакеты для мусора,Хозтовары,5,759,50,2026-04-26
976ca3ea,Ведро,Хозтовары,3,1490,0,2026-04-26
976ca3ea,Скатерть,Текстиль,4,4433,0,2026-04-26
