doc_id,item,category,amount,price,discount,date
889cd745,Шторы,Текстиль,3,3860,0,2026-04-26
889cd745,Шкаф,Мебель,2,4819,50,2026-04-26
889cd745,Губки для посуды,Хозтовары,2,286,0,2026-04-26
889cd745,Шампунь,Бытовая химия,5,1516,50,2026-04-26
b4c77ce2,Диван,Мебель,5,3713,25,2026-04-26
19cffd7b,Стиральный порошок,Бытовая химия,4,2907,50,2026-04-26
19cffd7b,Ведро,Хозтовары,1,3846,0,2026-04-26
a11db6ce,Подушка,Текстиль,1,1805,0,2026-04-26
a11db6ce,Шкаф,Мебель,1,788,0,2026-04-26
9f5df1f9,Стул,Мебель,2,4304,0,2026-04-26
9f5df1f9,Тарелка,Посуда,1,2127,0,2026-04-26
9f5df1f9,Стиральный порошок,Бытовая химия,4,568,0,2026-04-26
9f5df1f9,Постельное белье,Текстиль,1,4422,50,2026-04-26
7467df01,Скатерть,Текстиль,4,1696,50,2026-04-26
e18dfef0,Стул,Мебель,4,2874,10,2026-04-26
e18dfef0,Стиральный порошок,Бытовая химия,5,2360,25,2026-04-26
