doc_id,item,category,amount,price,discount,date
b4b32f9e,Веник,Хозтовары,3,2579,5,2026-04-26
b4b32f9e,Диван,Мебель,4,3281,10,2026-04-26
b4b32f9e,Стул,Мебель,5,3629,5,2026-04-26
b4b32f9e,Полотенце,Текстиль,1,503,50,2026-04-26
d7865334,Стиральный порошок,Бытовая химия,2,3766,0,2026-04-26
c2acdd3d,Тарелка,Посуда,4,4399,0,2026-04-26
c2acdd3d,Шкаф,Мебель,1,4733,50,2026-04-26
c2acdd3d,Губки для посуды,Хозтовары,1,4334,0,2026-04-26
0424c392,Постельное белье,Текстиль,1,4364,0,2026-04-26
0424c392,Шампунь,Бытовая химия,1,4012,5,2026-04-26
