doc_id,item,category,amount,price,discount,date
2f40284f,Шторы,Текстиль,1,3326,0,2026-04-26
2f40284f,Полотенце,Текстиль,2,1190,50,2026-04-26
2f40284f,Нож,Посуда,5,3683,50,2026-04-26
2f40284f,Кастрюля,Посуда,1,1499,10,2026-04-26
396fd1f0,Стиральный порошок,Бытовая химия,4,2152,50,2026-04-26
a804cf93,Стиральный порошок,Бытовая химия,4,4534,0,2026-04-26
a804cf93,Стиральный порошок,Бытовая химия,3,2850,50,2026-04-26
7b4b7f79,Скатерть,Текстиль,4,1173,25,2026-04-26
7b4b7f79,Стиральный порошок,Бытовая химия,4,3897,10,2026-04-26
a6496d1a,Шкаф,Мебель,4,4971,0,2026-04-26
a6496d1a,Шампунь,Бытовая химия,3,3446,0,2026-04-26
a6496d1a,Диван,Мебель,3,2782,0,2026-04-26
c73e9170,Подушка,Текстиль,5,1646,50,2026-04-26
c73e9170,Нож,Посуда,1,487,0,2026-04-26
c73e9170,Стиральный порошок,Бытовая химия,5,4360,25,2026-04-26
c73e9170,Шкаф,Мебель,3,4057,0,2026-04-26
