doc_id,item,category,amount,price,discount,date
7ba409a8,Шампунь,Бытовая химия,5,2490,0,2026-04-26
7ba409a8,Постельное белье,Текстиль,2,2973,0,2026-04-26
7ba409a8,Кастрюля,Посуда,5,4941,5,2026-04-26
d15dd475,Постельное белье,Текстиль,3,4645,0,2026-04-26
56968376,Нож,Посуда,5,303,10,2026-04-26
35fcf284,Пакеты для мусора,Хозтовары,2,4235,5,2026-04-26
35fcf284,Стол,Мебель,4,3688,25,2026-04-26
35fcf284,Пакеты для мусора,Хозтовары,1,2534,0,2026-04-26
35fcf284,Полотенце,Текстиль,1,2502,0,2026-04-26
96164727,Пакеты для мусора,Хозтовары,4,4362,5,2026-04-26
96164727,Кровать,Мебель,2,2906,0,2026-04-26
1832e6cd,Веник,Хозтовары,2,1755,10,2026-04-26
1832e6cd,Шкаф,Мебель,3,3419,25,2026-04-26
1832e6cd,Подушка,Текстиль,4,215,5,2026-04-26
1832e6cd,Постельное белье,Текстиль,3,17,50,2026-04-26
