doc_id,item,category,amount,price,discount,date
b5df75ee,Подушка,Текстиль,4,641,25,2026-04-26
edd9bd23,Веник,Хозтовары,4,4205,5,2026-04-26
edd9bd23,Губки для посуды,Хозтовары,1,900,25,2026-04-26
edd9bd23,Шампунь,Бытовая химия,1,1633,5,2026-04-26
edd9bd23,Веник,Хозтовары,4,278,10,2026-04-26
b41b1274,Шампунь,Бытовая химия,3,2926,0,2026-04-26
b41b1274,Шампунь,Бытовая химия,2,470,50,2026-04-26
b41b1274,Кастрюля,Посуда,4,865,5,2026-04-26
b41b1274,Ведро,Хозтовары,1,833,0,2026-04-26
dcf6129b,Диван,Мебель,1,4124,25,2026-04-26
65434f06,Пакеты для мусора,Хозтовары,3,4472,25,2026-04-26
65434f06,Нож,Посуда,4,3677,50,2026-04-26
65434f06,Пакеты для мусора,Хозтовары,4,537,50,2026-04-26
65434f06,Тарелка,Посуда,5,3446,10,2026-04-26
c96027a9,Шампунь,Бытовая химия,2,4410,0,2026-04-26
720233cd,Губки для посуды,Хозтовары,3,2014,0,2026-04-26
720233cd,Полотенце,Текстиль,2,3644,50,2026-04-26
387aed72,Веник,Хозтовары,1,1590,50,2026-04-26
387aed72,Тарелка,Посуда,1,497,10,2026-04-26
387aed72,Тарелка,Посуда,2,814,0,2026-04-26
387aed72,Веник,Хозтовары,2,1839,0,2026-04-26
283060ae,Стол,Мебель,1,3567,0,2026-04-26
283060ae,Мыло,Бытовая химия,1,4966,5,2026-04-26
283060ae,Мыло,Бытовая химия,4,1595,10,2026-04-26
283060ae,Шампунь,Бытовая химия,4,2504,5,2026-04-26
